Country,Population,Land Area,Continent,Image,Capital City,Borders,CCP,Territory,Anthem
Afghanistan,38.928.346,652.860,Asia,Afghanistan.png,Kabul,China. Iran. Pakistan. Tajikistan. Turkmenistan. Uzbekistan,	4.601.789,Afghanistan.png,This Is the Home of the Brave
Albania,2.877.797,27.400,Europe,Albania.png,Tirana,Greece. North Macedonia. Montenegro,418.495,Albania.png,The Pledge on the Flag
Algeria,43.851.044,2.381.740,Africa,Algeria.png,Algiers,Libya. Mali. Mauritania. Morocco. Niger. Tunisia,2.712.944,Algeria.png,We Pledge
Andorra,77.265,470,Europe,Andorra.png,Andorra La Vella,France. Spain,22.886,Andorra.png,The Great Charlemagne
Angola,32.866.272,1.246.700,Africa,Angola.png,Luanda,Democratic Republic of the Congo. Namibia. Zambia. Republic of the Congo,	2.571.861,Angola.png,Onward Angola
Antigua and Barbuda,97.929,440,North America,Antigua and Barbuda.png,Saint John's,(Its an island),81.799,Antigua and Barbuda.png,Fair Antigua, We Salute Thee
Argentina,45.195.774,2.736.690,South America,Argentina.png,Buenos Aires,Bolivia. Brazil. Chile. Paraguay. Uruguay,2.891.082,Argentina.png,Argentine National Anthem
Armenia,2.963.243,28.470,Asia,Armenia.png,Yerevan,Azerbaijan. Georgia. Iran. Turkey,	1.076.716,Armenia.png,Our Fatherland
Australia,25.499.884,7.682.300,Oceania,Australia.png,Canberra,(Its an island),411.667,Australia.png,Advance Australia Fair
Austria,9.006.398,82.409,Europe,Austria.png,Vienna,Czech Republic. Germany. Hungary. Italy. Liechtenstein. Slovakia. Slovenia. Switzerland,1.911.191,Austria.png,Land of the mountains land by the river
Azerbaijan,10.139.177,82.658,Asia,Azerbaijan.png,Baku,Armenia. Georgia. Iran. Russia. Turkey,	2.293.100,Azerbaijan.png,March of Azerbaijan
Bahamas,393.244,10.010,North America,Bahamas.png,Nassau,(Its an island),274.400,Bahamas.png,March On Bahamaland
Bahrain,1.701.575,760,Asia,Bahrain.png,Manama,(Its an island),157.474,Bahrain.png,Our Bahrain
Bangladesh,164.689.383,130.170,Asia,Bangladesh.png,Dhaka,India. Myanmar,8.906.035,Bangladesh.png,My Golden Bengal
Barbados,287.375,430,North America,Barbados.png,Bridgetown,(Its an island),110.000,Barbados.png,In Plenty and In Time of Need
Belarus,9.449.323,202.910,Europe,Belarus.png,Minsk,Latvia. Lithuania. Poland. Russia. Ukraine,2.009.786,Belarus.png,We the Belarusians
Belgium,11.589.623,30.280,Europe,Belgium.png,Brussels,France. Germany. Luxembourg. Netherlands,1.175.173,Belgium.png,The Brabantian
Belize,397.628,22.810,North America,Belize.png,Belmopan,Guatemala. Mexico,16.451,Belize.png,Land of the Free
Benin,12.123.200,112.760,Africa,Benin.png,Port-Novo,Burkina Faso. Niger. Nigeria. Togo,264.320,Benin.png,The Dawn of a New Day
Bhutan,771.608,38.117,Asia,Bhutan.png,Thimphu,China. India,114.551,Bhutan.png,The Thunder Dragon Kingdom
Bolivia,11.673.021,1.083.300,South America,Bolivia.png,La Paz,Argentina. Brazil. Chile. Paraguay. Peru,300.000,Bolivia.png,Bolivians a Propitious Fate
Bosnia and Herzegovina,3.280.819,51.000,Europe,Bosnia and Herzegovina.png,Sarajevo,Croatia. Montenegro. Serbia,275.524,Bosnia and Herzegovina.png,The National Anthem of Bosnia and Herzegovina
Botswana,2.351.627,566.730,Africa,Botswana.png,Gaborone,Namibia. South Africa. Zambia. Zimbabwe,231.592,Botswana.png,Blessed Be This Noble Land
Brazil,212.559.417,8.358.140,South America,Brazil.png,Brasilia,Argentina. Bolivia. Colombia. Guyana. Paraguay. Peru. Suriname. Uruguay. Venezuela,2.912.090,Brazil.png,Brazilian National Anthem
Brunei,437.479,5.270,Asia,Brunei.png,Bandar Seri Begawan, Malaysia,50.000,Brunei.png,God Bless the Sultan
Bulgaria,6.948.445,108.560,Europe,Bulgaria.png,Sofia,Greece. North Macedonia. Romania. Serbia. Turkey,1.241.675,Bulgaria.png,Dear Motherland
Burkina Faso,20.903.273,273.600,Africa,Burkina Faso.png,Ouagadougou,Benin. IvoryCoast. Ghana. Mali. Niger. Togo,2.453.496,Burkina Faso.png,One Single Night
Burundi,11.890.784,25.680,Africa,Burundi.png,Gitega,Democratic Republic of the Congo. Rwanda. Tanzania,497.166,Burundi.png,Our Burundi
IvoryCoast,26.378.274,318.000,Africa,IvoryCoast.png,Yamoussoukro,Burkina Faso. Ghana. Guinea. Liberia. Mali,281.735,IvoryCoast.png,Song of Abidjan
Cape Verde,555.987,4.030,Africa,Cape Verde.png,Praia,(Its an island),130.271,Cape Verde.png,Song of Freedom
Cambodia,16.718.965,176.520,Asia,Cambodia.png,Phnom penh,Laos. Thailand. Vietnam,2.281.951,Cambodia.png,Royal Kingdom
Cameroon,26.545.863,472.710,Africa,Cameroon.png,Yaounde,CAR. Chad. Republic of the Congo. Equatorial Guinea. Gabon. Nigeria,2.765.600,Cameroon.png,O Cameroon, Cradle of Our Forefathers
Canada,37.742.154,9.093.510,North America,Canada.png,Ottawa,USA,1.028.514,Canada.png,O Canada
CAR,4.829.767,622.980,Africa,CAR.png,Bangui,Cameroon. Chad. Democratic Repuclic of the Congo. Republic of the Congo. South Sudan. Sudan,889.231,CAR.png,The Rebirth
Chad,16.425.864,1.259.200,Africa,Chad.png,N'Djamena,Cameroon. CAR. Libya. Niger. Nigeria. Sudan,1.092.066,Chad.png,People of Chad
Chile,19.116.201,743.532,South America,Chile.png,Santiago,Argentina. Bolivia. Peru,6.269.384,Chile.png,How pure, Chile, is your blue sky
China,1.439.323.776,9.388.211,Asia,China.png,Beijing,Afghanistan. Bhutan. India. Kazakhstan. North Korea. Kyrgyzstan. Laos. Mongolia. Myanmar. Nepal. Pakistan. Russia. Tajikistan. Vietnam,21.893.095,China.png,March of the Volunteers
Colombia,50.882.891,1.109.500,South America,Colombia.png,Bogota, Brazil. Ecuador. Panama. Peru. Venezuela,7.412.566,Colombia.png,National Anthem of the Republic of Colombia
Comoros,869.601,1.861,Africa,Comoros.png,Moroni,(Its an island),54.000,Comoros.png,The Union of the Great Islands
Republic of the Congo,5.518.087,341.500,Africa,Republic of the Congo.png,Brazzaville,Angola. Cameroon. CAR. Democratic Republic of the Congo. Gabon,2.308.000,Republic of the Congo.png,The Congolese
Costa Rica,5.094.118,51.060,North America,Costa Rica.png,San Jose,Nicaragua. Panama,347.398,Costa Rica.png,Noble fatherland your beautiful flag
Croatia,4.105.267,55.960,Europe,Croatia.png,Zagreb,Bosnia and Herzegovina. Hungary. Montenegro. Serbia. Slovenia,792.875,Croatia.png,Our Beautiful Homeland
Cuba,11.326.616,106.440,North America,Cuba.png,Havana,(Its an island),2.131.937,Cuba.png,The Anthem of Bayamo
Cyprus,1.207.359,9.240,Europe,Cyprus.png,Nicosia,(Its an island),116.392,Cyprus.png,Hymn to Liberty
Czech Republic,10.708.981,77.240,Europe,Czech Republic.png,Prague,Austria. Germany. Poland. Slovakia,	1.301.132,Czech Republic.png,Where My Home is
DRC,89.561.403,2.267.050,Africa,DRC.png,Kinshasa,Angola. Burundi. CAR. Republic of the Congo. Rwanda. South Sudan. Tanzania. Uganda. Zambia,14.970.000,DRC.png,Arise Congolese
Denmark,5.792.202,42.430,Europe,Denmark.png,Copenhagen,Germany,616.098,Denmark.png,There is a lovely country
Djibouti,988.000,23.180,Africa,Djibouti.png,Djibouti,Eritrea. Ethiopia,219.000,Djibouti.png,Djibouti
Dominica,71.986,750,South America,Dominica.png,Roseau,(Its an island),16.582,Dominica.png,Isle of Beauty, Isle of Splendour
Dominican Republic,10.847.910,48.320,North America,Dominican Republic.png,Santo Domingo,Haiti,965.040,Dominican Republic.png,National Anthem
Ecuador,17.643.054,248.360,South America,Ecuador.png,Quito,Colombia. Peru,2.011.388,Ecuador.png,We Salute You, Our Homeland
Egypt,102.334.404,995.450,Africa,Egypt.png,Cairo,State of Palestine. Israel. Libya. Sudan,9.539.673,Egypt.png,My Country My Country ,My Country
El Salvador,6.486.205,20.720,North America,El Salvador.png,San Salvador,Guatemala. Honduras,238.244,El Salvador.png,National Anthem of El Salvador
Equatorial Guinea,1.402.985,28.050,Africa,Equatorial Guinea.png,Malabo, Cameroon. Gabon,187.302,Equatorial Guinea.png,Let Us Tread the Path of our Immense Happiness
Eritrea,3.546.421,101.000,Africa,Eritrea.png,Asmara,Djibouti. Ethiopia. Sudan,963.000,Eritrea.png,Eritrea Eritrea Eritrea
Estonia,1.326.535,42.390,Europe,Estonia.png,Tallinn,Latvia. Russia,430.805,Estonia.png,My Fatherland My Happiness and Joy
Eswatini,1.160.164,17.200,Africa,Eswatini.png,Mbabana,Mozambique. South Africa,94.874,Eswatini.png,O Lord our God of the Swazi
Ethiopia,114.963.588,1.000.000,Africa,Ethiopia.png,Addis Ababa, Djibouti. Eritrea. Kenya. Somalia. South Sudan. Sudan,3.352.000,Ethiopia.png,March Forward Dear Mother Ethiopia
Fiji,896.445,18.270,Oceania,Fiji.png,Suva,(Its an island),88.271,Fiji.png,God Bless Fiji
Finland,5.540.720,303.890,Europe,Finland.png,Helsinki, Norway. Sweden. Russia,645.657,Finland.png,Our Land
France,65.273.511,547.557,Europe,France.png,Paris, Andorra. Belgium. Germany. Italy. Luxembourg. Monaco. Spain. Switzerland,2.206.488,France.png,The Marseillaise
Gabon,2.225.734,257.670,Africa,Gabon.png,Libreville,Cameroon. Republic of the Congo. Equatorial Guinea,703.904,Gabon.png,The Concorde
Gambia,2.416.668,10.120,Africa,Gambia.png,Banjul,Senegal,31.301,Gambia.png,For The Gambia Our Homeland
Georgia,3.989.167,69.490,Asia,Georgia.png,Tbilisi,Armenia. Azerbaijan. Russia. Turkey,1.113.800,Georgia.png,Freedom
Germany,83.783.942,348.560,Europe,Germany.png,Berlin, Austria. Belgium. Czech Republic. Denmark. France. Luxembourg. Netherlands. Poland. Switzerland,3.664.088,Germany.png,Song of the Germnas
Ghana,31.072.940,227.540,Africa,Ghana.png,Accra, Burkina Faso. IvoryCoast. Togo,2.514.000,Ghana.png,God Bless Our Homeland Ghana
Greece,10.423.054,128.900,Europe,Greece.png,Athens,Albania. Bulgaria. North Macedonia. Turkey,664.046,Greece.png,Hymn to Liberty or Hymn to Freedom
Grenada,112.523,340,North America,Grenada.png,Saint George's,(Its an island),33.734,Grenada.png,Hail Grenada
Guatemala,17.915.568,107.160,North America,Guatemala.png,Guatemala City,Belize. El Salvador. Honduras. Mexico,923.392,Guatemala.png,National Anthem of Guatemala
Guinea,13.132.795,245.720,Africa,Guinea.png,Conakry, IvoryCoast. Guinea-Bissau. Liberia. Mali. Senegal. Sierra Leone,1.660.973,Guinea.png,Freedom
Guinea-Bissau,1.968.001,28.120,Africa,Guinea-Bissau.png.Bissau, Guinea. Senegal,395.954,Guinea-Bissau.png,This is Our Beloved Country
Guyana,786.552,196.850,South America,Guyana.png,Georgetown,Brazil. Suriname. Venezuela,131.395,Guyana.png,Dear Land of Guyana of Rivers and Plains
Haiti,11.402.528,27.560,North America,Haiti.png,Port Au Prince, Dominican Republic,987.310,Haiti.png,Song of Dessalines
Honduras,9.904.607,111.890,North America,Honduras.png,Tegucigalpa, Guatemala. El Salvador. Nicaragua,1.157.509,Honduras.png,National Anthem of Honduras
Hungary,9.660.351,90.530,Europe,Hungary.png,Budapest,Austria. Croatia. Romania. Serbia. Slovakia. Slovenia. Ukraine,1.752.286,Hungary.png,Hymn
Iceland,341.243,100.250,Europe,Iceland.png,Reykjavik,(Its an island),	124.644,Iceland.png,Hymn
India,1.380.004.385,2.973.190,Asia,India.png,New Delhi,Bangladesh. Bhutan. China. Myanmar. Nepal. Pakistan,257.803,India.png,Hail the ruler of all minds
Indonesia,273.523.615,1.811.570,Oceania,Indonesia.png,Jakarta,East Timor. Malaysia. Papua New Guinea,10.562.088,Indonesia.png,Great Indonesia
Iran,83.992.949,1.628.550,Asia,Iran.png,Tehran,Afghanistan. Armenia. Azerbaijan. Iraq. Pakistan. Turkey. Turkmenistan,8.846.782,Iran.png,National Anthem of the Islamic Republic of Iran
Iraq,40.222.493,434.320,Asia,Iraq.png,Baghdad, Iran. Jordan. Kuwait. Saudi Arabia. Syria. Turkey,8.126.755,Iraq.png,My Homeland
Ireland,4.937.786,68.890,Europe,Ireland.png,Dublin, UK,553.165,Ireland.png,The Soldiers Song
Israel,8.655.535,21.640,Asia,Israel.png,Jerusalem,Egypt. State of Palestine. Jordan. Lebanon. Syria,891.977,Israel.png,The Hope
Italy,60.461.826,294.140,Europe,Italy.png,Rome,Austria. France. San Marino. Slovenia. Switzerland. Vatican City,2.873.147,Italy.png,The Song of the Italians
Jamaica,2.961.167,10.830,North America,Jamaica.png,Kingston,(Its an island),584.627,Jamaica.png,Jamaica Land We Love
Japan,126.476.461,364.555,Asia,Japan.png,Tokyo,(Its an island),	13.960.236,Japan.png,His Majestys Reign
Jordan,10.203.134,88.780,Asia,Jordan.png,Amman,Iraq. Israel. Saudi Arabia. Syria,	4.302.730,Jordan.png,The Royal Anthem of Jordan
Kazakhstan,18.776.707,2.699.700,Asia,Kazakhstan.png,Astana,China. Kyrgyzstan. Russia. Turkmenistan. Uzbekistan,1.029.556,Kazakhstan.png,My Kazakhstan
Kenya,53.771.296,569.140,Africa,Kenya.png,Nairobi,Ethiopia. Somalia. South Sudan. Tanzania. Uganda,	4.397.073,Kenya.png,Oh God of All Creation
Kiribati,119.449,810,Oceania,Kiribati.png,Tarawa Atoll,(Its an island),56.284,Kiribati.png,Song of Kiribati
Kuwait,4.270.571,17.820,Asia,Kuwait.png,Kuwait City,Iraq. Saudi Arabia,	2.989.000,Kuwait.png,National Anthem
Kyrgyzstan,6.524.195,191.800,Asia,Kyrgyzstan.png,Bishkek,China. Kazakhstan. Tajikistan. Uzbekistan,976.734,Kyrgyzstan.png,National Anthem of the Kyrgyz Republic
Laos,7.275.560,230.800,Asia,Laos.png,Vientiane,Cambodia. China. Myanmar. Thailand. Vietnam,783.000,Laos.png,Hymn of the Lao People
Latvia,1.886.198,62.200,Europe,Latvia.png,Riga,Belarus. Estonia. Lithuania. Russia,632.614,Latvia.png,God Bless Latvia
Lebanon,6.825.445,10.230,Asia,Lebanon.png,Beirut,Israel. Syria,361.366,Lebanon.png,Lebanese National Anthem
Lesotho,2.142.249,30.360,Africa,Lesotho.png,Maseru,South Africa,330.760,Lesotho.png,Lesotho Land of Our Fathers
