Country,Population,Land Area,Continent,Image,Capital City,Borders,CCP,Territory,Anthem
Liberia,5.057.681,96.320,Africa,Liberia.png,Monrovia,Guinea. IvoryCoast. Sierra Leone,1.010.970,Liberia.png,All Hail Liberia Hail
Libya,6.871.292,1.759.540,Africa,Libya.png,Tripoli,Algeria. Chad. Egypt. Niger. Sudan. Tunisia,1.126.000,Libya.png,Libya Libya Libya
Liechtenstein,38.128,160,Europe,Liechtenstein.png,Vaduz, Austria. Switzerland,5.668,Liechtenstein.png,High of the Young Rhine
Lithuania,2.722.289,62.674,Europe,Lithuania.png,Vilnius,Belarus. Latvia. Poland. Russia,546.382,Lithuania.png,National Song
Luxembourg,625.978,2.590,Europe,Luxembourg.png,Luxembourg,Belgium. France. Germany,119.215,Luxembourg.png,Our Homeland
Madagascar,27.691.018,581.795,Africa,Madagascar.png,Antananarivo,(Its an island),1.274.225,Madagascar.png,Oh Beloved Land of Our Ancestors
Malawi,19.129.952,94.280,Africa,Malawi.png,Lilongwe,Mozambique. Tanzania. Zambia,989.318,Malawi.png,God Bless Malawi
Malaysia,32.365.999,328.550,Asia,Malaysia.png,Kuala Lumpur,Brunei. Indonesia. Thailand,	1.839.451,Malaysia.png,My Country
Maldives,540.544,300,Asia,Maldives.png,Male,(Its an island),221.678,Maldives.png,National Salute
Mali,20.250.833,1.220.190,Africa,Mali.png,Bamako,Algeria. Burkina Faso. IvoryCoast. Guinea. Mauritania. Niger. Senegal,2.713.000,Mali.png,Mali
Malta,441.543,320,Europe,Malta.png,Valletta,(Its an island),5.735,Malta.png,The Maltese Hymn
Marshall Islands,59.190,180,Oceania,Marshall Islands.png,Majuro,(Its an island),27.797,Marshall Islands.png,Forever Marshall Islands
Mauritania,4.649.658,1.030.700,Africa,Mauritania.png,Nouakchott,Algeria. Mali. Senegal,958.399,Mauritania.png,Country of the Proud Guiding Noblemen
Mauritius,1.271.768,2.030,Africa,Mauritius.png,Port Louis,(Its an island),146.737,Mauritius.png,Motherland
Mexico,128.932.753,1.943.950,North America,Mexico.png![](Teritorije/Venezuela.png),Mexico City,Belize. Guatemala. USA,9.209.944,Mexico.png,Mexican National Anthem
Micronesia,548.914,700,Oceania,Micronesia.png,Palikir,(Its an island),6.647,Micronesia.png,Patriots of Micronesia
Moldova,4.033.963,32.850,Europe,Moldova.png,Chisinau,Romania. Ukraine,339.079,Moldova.png,Our Language
Monaco,39.242,1,Europe,Monaco.png,Monaco,France,39.242,Monaco.png,Monégasque Anthem
Mongolia,3.278.290,1.553.560,Asia,Mongolia.png,Ulaanbaatar,China. Russia,	1.515.593,Mongolia.png,National Anthem of Mongolia
Montenegro,628.066,13.450,Europe,Montenegro.png,Podgorica, Albania. Bosnia and Herzegovina. Croatia. Serbia,187.085,Montenegro.png,O Bright Dawn of May
Morocco,36.910.560,446.300,Africa,Morocco.png,Rabat,Algeria. Spain,	573.895,Morocco.png,Cherifian Anthem
Mozambique,31.255.435,786.380,Africa,Mozambique.png,,Maputo,Eswatini. Malawi. South Africa. Tanzania. Zambia. Zimbabwe,1.088.449,Mozambique.png,Beloved Homeland
Myanmar ,54.409.800,653.290,Asia,Myanmar .png,Nay Pyi Taw,Bangladesh. China. India. Laos. Thailand,924.608,Myanmar.png,Till the End of the World
Namibia,2.540.905,823.290,Africa,Namibia.png,Windhoek,Angola. Botswana. South Africa. Zambia,325.858,Namibia.png,Namibia Land of the Brave
Nauru,10.824,20,Oceania,Nauru.png,Yaren,(Its an island),747,Nauru.png,Song of Nauru
Nepal,29.136.808,143.350,Asia,Nepal.png,Kathmandu,China. India,975.543,Nepal.png,Made of Hundreds of Flowers
Netherlands,17.134.872,33.720,Europe,Netherlands.png,Amsterdam,Belgium. Germany,872.680,Netherlands.png,William
New Zealand,4.822.233,263.310,Oceania,New Zealand.png,Wellington,(Its an island),209.000,New Zealand.png,God Defend New Zealand
Nicaragua,6.624.554,120.340,North America,Nicaragua.png,Managua,Costa Rica,	1.033.622,Nicaragua.png,Hail to Thee Nicaragua
Niger,24.206.644,1.266.700,Africa,Niger.png,Niamey,Algeria. Benin. Burkina Faso. Chad. Libya. Mali. Nigeria,1.026.848,Niger.png,The Nigerien
Nigeria,206.139.589,910.770,Africa,Nigeria.png,Abuja,Benin. Cameroon. Chad. Niger,2.750.000,Nigeria.png,Arise O Compatriots
North Korea,25.778.816,120.410,Asia,North Korea.png,Pyongyang,China. South Korea. Russia,	3.222.000,North Korea.png,The Patriotic Song
North Macedonia,2.083.374,25.220,Europe,North Macedonia.png,Skopje,Albania. Bulgaria. Greece. Serbia,546.824,North Macedonia.png,Today Over Macedonia
Norway,5.421.241,365.268,Europe,Norway.png,Oslo,Finland. Sweden. Russia,	681.067,Norway.png,Yes We Love This Country
Oman,5.106.626,309.500,Asia,Oman.png,Muscat,Saudi Arabia. UAE. Yemen,630.000,Oman.png,Sultanic Salute
Pakistan,220.892.340,770.880,Asia,Pakistan.png,Islamabad,Afghanistan. India. Iran. China,1.014.825,Pakistan.png,National Anthem
Palau,18.094,460,Oceania,Palau.png,Melekeok,(Its an island),271,Palau.png,Our Palau
Panama,4.314.767,74.340,South America,Panama.png,Panama City,Colombia. Costa Rica,	481.993,Panama.png,Hymn of the Isthmus
Papua New Guinea,8.947.024,452.860,Oceania,Papua New Guinea.png,Port Moresby,Indonesia,410.954,Papua New Guinea.png,O Arise All You Sons
Paraguay,7.132.538,397.300,South America,Paraguay.png,Asuncion,Argentina. Brazil. Bolivia,525.252,Paraguay.png,Paraguayan National Anthem
Peru,32.971.854,1.280.000,South America,Peru.png,Lima,Bolivia. Brazil. Chile. Colombia. Ecuador,	9.751.717,Peru.png,National Anthem of Peru
Philippines,109.581.078,298.170,Asia,Philippines.png,Manila,(Its an island),	1.846.513,Philippines.png,Chosen Land
Poland,37.846.611,306.230,Europe,Poland.png,Warsaw,Belarus. Czech Republic. Germany. Lithuania. Russia. Slovakia. Ukraine,	1.793.579,Poland.png,Poland is Not Yet Lost
Portugal,10.196.709,91.590,Europe,Portugal.png,Lisbon,Spain,	505.526,Portugal.png,The Portuguese
Qatar,2,881.053,11.610,Asia,Qatar.png,Doha,Saudi Arabia,587.055,Qatar.png,Peace to the Amir
Romania,19.237.691,230.170,Europe,Romania.png,Bucharest,Bulgaria. Hungary. Moldova. Serbia. Ukraine,	1.829.897,Romania.png,Awaken thee Romanian
Russia,145.934.462,16.376.870,Europe,Russia.png,Moscow,Azerbaijan. Belarus. China. Estonia. Finland. Georgia. Kazakhstan. North Korea. Latvia. Lithuania. Mongolia. Norway. Poland. Ukraine,12.506.468,Russia.png,State Hymn of the Russian Federation
Rwanda,12.952.218,24.670,Africa,Rwanda.png,Kigali,Burundi. Democratic Republic of the Congo. Tanzania. Uganda,745.261,Rwanda.png,Beautiful Rwanda
Saint Kitts and Nevis,53.199,260,North America,Saint Kitts and Nevis.png,Basseterre,(Its an island),14.000,Saint Kitts and Nevis.png,O Land of Beauty
Saint Lucia,183.627,610,North America,Saint Lucia.png,Castries,(Its an island),70.000,Saint Lucia.png,Sons and Daughters of Saint Lucia
Saint Vincent and the Grenadines,110.940,390,North America,Saint Vincent and the Grenadines.png,Kingstown,(Its an island),16.500,Saint Vincent and the Grenadines.png,Saint Vincent Land so Beautiful
Samoa,198.414,2.830,Oceania,Samoa.png,Apia,(Its an island),37.391,Samoa.png,The Banner of Freedom
San Marino,33.931,60,Europe,San Marino.png,San Marino,Italy,4.127,San Marino.png,The National Anthem of The Republic
Sao Tome and Principe,219.159,960,Africa,Sao Tome and Principe.png,Sao Tome,(Its an island),56.945,Sao Tome.png,Total Independence
Saudi Arabia,34.813.871,2.149.690,Asia,Saudi Arabia.png,Riyadh,Iraq. Jordan. Kuwait. Oman. Qatar. UAE. Yemen,7.676.654,Saudi Arabia.png,The Royal Salute
Senegal,16.743.927,192.530,Africa,Senegal.png,Dakar,Gambia. Guinea. Guinea-Bissau. Mali. Mauritania,1.146.053,Senegal.png,Strum your Koras Strike the Balafons
Serbia,8.737.371,87.460,Europe,Serbia.png,Belgrade,Bosnia and Herzegovina. Bulgaria. Croatia. Hungary. Montenegro. North Macedonia. Romania,1.378.682,Serbia.png,God of Justice
Seychelles,98.347,460,Africa,Seychelles.png,Victoria,(Its an island),26.450,Seychelles.png,Join Together All Seychellois
Sierra Leone,7.976.983,72.180,Africa,Sierra Leone.png,Freetown,Guinea. Liberia,1.055.964,Sierra Leone.png,High We Exalt Thee Realm of the Free
Singapore,5.850.342,700,Asia,Singapore.png,Singapore,(Its an island),5.850.342,Singapore.png,Onward Singapore
Slovakia,5.459.642,48.088,Europe,Slovakia.png,Bratislava,Austria. Czech Republic. Hungary. Poland. Ukraine,427.744,Slovakia.png,Lightning Over Tatras
Slovenia,2.078.938,20.140,Europe,Slovenia.png,Ljubljana,Austria. Croatia. Italy. Hungary,279.650,Slovenia.png,A Toast
Solomon Islands,686.884,27.990,Oceania,Solomon Islands.png,Honiara,(Its an island),84.520,Solomon Islands.png,God Save Our Solomon Islands
Somalia,15.893.222,627.340,Africa,Somalia.png,Mogadishu,Djibouti. Ethiopia. Kenya,2.388.000,Somalia.png,Praise to the Flag
South Africa,59.308.690,1.213.090,Africa,South Africa.png,Pretoria. (Bloemfontein. Cape Town),Botswana. Eswatini. Lesotho. Mozambique. Namibia. Zimbabwe,741.651,South Africa.png,God Bless Africa
South Korea,51.269.185,97.230,Asia,South Korea.png,Seoul,North Korea,9.733.509,South Korea.png,The Patriotic Song
South Sudan,11.193.725,610.952,Africa,South Sudan.png,Juba,CAR. Democratic Republic of the Congo. Ethiopia. Kenya. Sudan. Uganda,492.970,South Sudan.png,South Sudan Oyee
Spain,46.754.778,498.800,Europe,Spain.png,Madrid,Andorra. France. Gibraltar. Portugal. Morocco,3.223.334,Spain.png,The Royal March
Sri Lanka,21.413.249,62.710,Asia,Sri Lanka.png,Sri Jayawardenapura Kotte,(Its an island),752.993,Sri Lanka.png,Mother Sri Lanka
Sudan,43.849.260,1.765.048,Africa,Sudan.png,Khartoum,CAR. Chad. Egypt. Eritrea. Ethiopia. Libya. South Sudan,639.598,Sudan.png,We Are The Army of God And Our Land
Suriname,586.632,156.000,South America,Suriname.png,Paramaribo,Brazil. Guyana,240.924,Suriname.png,God Be With Our Suriname
Sweden,10.099.265,410.340,Europe,Sweden.png,Stockholm,Finland. Norway,935.619,Sweden.png,Thou Ancient Thou Free
Switzerland,8.654.622,39.516,Europe,Switzerland.png,Bern,Austria. France. Italy. Liechtenstein. Germany,133.883,Switzerland.png,Swiss Psalm
Syria,17.500.658,183.630,Asia,Syria.png,Damascus,Iraq. Israel. Jordan. Lebanon. Turkey,2.354.000,Syria.png,Guardians of the Homeland
Tajikistan,9.537.645,139.960,Asia,Tajikistan.png,Dushanbe,Afghanistan. China. Kyrgyzstan. Uzbekistan,778.500,Tajikistan.png,National Anthem
Tanzania,59.734.218,885.800,Africa,Tanzania.png,Dodoma,Burundi. Democratic Republic of the Congo. Kenya. Malawi. Mozambique. Rwanda. Uganda. Zambia,213.636,Tanzania.png,God Bless Africa
Thailand,69.799.978,510.890,Asia,Thailand.png,Bangkok,Cambodia. Laos. Malaysia. Myanmar,10.539.000,Thailand.png,National Song
East Timor,1.318.445,14.870,Oceania,East Timor.png,Dili,Insonesia,222.323,East Timor.png,Fatherland
Togo,8.278.724,54.390,Africa,Togo.png,Lome,Benin. Burkina Faso. Ghana,837.437,Togo.png,Hail of Thee Land of our Forefathers
Tonga,105.695,720,Oceania,Tonga.png,Nuku'alofa,(Its an island),35.184,Tonga.png,Song of The King of The Tonga Islands
Trinidad and Tobago,1.399.488,5.130,North America,Trinidad and Tobago.png,Port of Spain,(Its an island),165.100,Trinidad and Tobago.png,Forged from the Love of Liberty
Tunisia,11.818.619,155.360,Africa,Tunisia.png,Tunis,Algeria. Libya,1.056.247,Tunisia.png,Defenders of the Homeland
Turkey,84.339.067,769.630,Asia,Turkey.png,Ankara,Armenia. Azerbaijan. Bulgaria. Georgia. Greece. Iran. Iraq. Syria,5.663.322,Turkey.png,The March of Independence
Turkmenistan,6.031.200,469.930,Asia,Turkmenistan.png,Ashgabat,Afghanistan. Iran. Kazakhstan. Uzbekistan,1.031.992,Turkmenistan.png,The State Anthem of Independence and Neutral Turkmenistan
Tuvalu,11.792,30,Oceania,Tuvalu.png,Funafuti,(Its an island),6.025,Tuvalu.png,Tuvalu for the Almighty
Uganda,45.741.007,199.810,Africa,Uganda.png,Kampala, Democratic Republic of the Congo. Kenya. Rwanda. South Sudan. Tanzania,1.507.114,Uganda.png,Oh Uganda Land of Beauty
Ukraine,43.733.762,579.320,Europe,Ukraine.png,Kiev,Belarus. Hungary. Moldova. Poland. Romania. Russia. Slovakia,2.893.215,Ukraine.png,Ukraines Glory Has Not Perished
UAE,9.890.402,83.600,Asia,UAE.png,Abu Dhabi,Oman. Saudi Arabia,1.481.516,UAE.png,Long Live My Homeland
UK,67.886.011,241.930,Europe,UK.png,London,Ireland,8.961.989,UK.png,God Save the King
USA,331.002.651,9.147.420,North America,USA.png,Washington,Canada. Mexico,724.342,USA.png,The Star Spangled Banner
Uruguay,3.473.730,175.020,South America,Uruguay.png,Montevideo,Argentina. Brazil,1.383.135,Uruguay.png,National Anthem
Uzbekistan,33.469.203,425.400,Asia,Uzbekistan.png,Tashkent,Afghanistan. Kazakhstan. Kyrgyzstan. Tajikistan. Turkmenistan,2.571.668,Uzbekistan.png,National Anthem of the Republic of Uzbekistan
Vanuatu,307.145,12.190,Oceania,Vanuatu.png,Port Vila,(Its an island),44.040,Vanuatu.png,We We We
Venezuela,28.435.940,882.050,South America,Venezuela.png,Caracas,Brazil. Colombia. Guyana,2.245.744,Venezuela.png,Glory to the Brave People
Vietnam,97.338.579,310.070,Asia,Vietnam.png,Hanoi,Cambodia. China. Laos,4.678.198,Vietnam.png,Marching Song
Yemen,29.825.964,527.970,Asia,Yemen.png,Sana'a,Oman. Saudi Arabia,2.545.000,Yemen.png,National Anthem of Yemen
Zambia,18.383.955,743.390,Africa,Zambia.png,Lusaka,Angola. Botswana. Democratic Republic of the Congo. Malawi. Mozambique. Namibia. Tanzania. Zimbabwe,1.747.152,Zambia.png,Stand and Sing of Zambia Proud and Free
Zimbabwe,14.862.924,386.850,Africa,Zimbabwe.png,Harrare,Botswana. Mozambique. South Africa. Zambia,3.120.917,Zimbabwe.png,O Lift High the Banner of Zimbabwe
Vatican City,1000,1,Europe,Vatican City.png,Vatican City,Italy,1000,Vatican City.png,Pontifical Anthem and March
Taiwan,23.570.000,36.197,Asia,Taiwan.png,Taipei,(Its an island),2.646.204,Taiwan.png,National Anthem of the Republic of China (Taiwan)